Airline,Travel_date,From,To,Departure_time,Arrival_time,Duration_minutes,Stops,Price
Air India,08/01/2023,Mumbai,New Delhi,18:40,23:10,270,1.0, 13367
Vistara,08/01/2023,Mumbai,New Delhi,23:10,01:00,110,0.0, 15834
Air India,08/01/2023,Mumbai,New Delhi,21:00,03:50,410,1.0, 16758
Vistara,08/01/2023,Mumbai,New Delhi,21:55,00:10,135,0.0, 19068
Vistara,08/01/2023,Mumbai,New Delhi,19:45,21:55,130,0.0, 22743
Vistara,08/01/2023,Mumbai,New Delhi,18:30,20:40,130,0.0, 27332
Go First,08/01/2023,New Delhi,Goa,21:30,00:05,155,0.0, 5932
SpiceJet,08/01/2023,New Delhi,Goa,23:00,01:05,125,0.0, 5954
Air India,08/01/2023,New Delhi,Goa,22:00,00:40,160,0.0, 6514
Go First,08/01/2023,New Delhi,Goa,21:30,00:05,155,0.0, 5202
SpiceJet,08/01/2023,New Delhi,Goa,17:45,20:25,160,0.0, 6999
Go First,08/01/2023,New Delhi,Goa,17:00,23:25,385,1.0, 7713
Vistara,08/01/2023,New Delhi,Goa,18:40,21:20,160,0.0, 7740
AirAsia,08/01/2023,New Delhi,Goa,20:00,22:35,155,0.0, 8159
IndiGo,08/01/2023,New Delhi,Goa,20:25,22:50,145,0.0, 8159
IndiGo,08/01/2023,New Delhi,Goa,17:40,20:20,160,0.0, 8350
IndiGo,08/01/2023,New Delhi,Goa,19:10,21:55,165,0.0, 8900
Vistara,08/01/2023,New Delhi,Goa,17:45,00:05,380,1.0, 9347
Go First,08/01/2023,New Delhi,Ahmedabad,22:00,23:35,95,0.0, 7290
IndiGo,08/01/2023,New Delhi,Ahmedabad,21:30,07:25,595,1.0, 10312
IndiGo,08/01/2023,New Delhi,Ahmedabad,20:20,21:55,95,0.0, 10952
IndiGo,08/01/2023,New Delhi,Ahmedabad,23:40,01:25,105,0.0, 4863
Go First,08/01/2023,New Delhi,Ahmedabad,17:30,19:05,95,0.0, 12936
Vistara,08/01/2023,New Delhi,Ahmedabad,21:20,22:55,95,0.0, 13339
SpiceJet,08/01/2023,New Delhi,Ahmedabad,20:10,07:40,690,1.0, 14299
SpiceJet,08/01/2023,New Delhi,Ahmedabad,20:30,22:10,100,0.0, 16284
Vistara,08/01/2023,New Delhi,Ahmedabad,19:45,16:40,1255,1.0, 16522
Vistara,08/01/2023,New Delhi,Ahmedabad,18:00,19:45,105,0.0, 17539
Akasa Air,08/01/2023,New Delhi,Ahmedabad,19:10,20:55,105,0.0, 18909
Vistara,08/01/2023,New Delhi,Ahmedabad,19:00,23:55,295,1.0, 20865
SpiceJet,08/01/2023,New Delhi,Tirupati,18:50,15:40,1250,1.0, 17923
IndiGo,08/01/2023,New Delhi,Tirupati,19:45,07:30,705,1.0, 19027
IndiGo,08/01/2023,New Delhi,Tirupati,21:25,07:30,605,1.0, 19972
IndiGo,08/01/2023,New Delhi,Tirupati,05:55,11:50,355,1.0, 8245
SpiceJet,08/01/2023,New Delhi,Tirupati,17:35,20:00,1585,1.0, 20391
SpiceJet,08/01/2023,New Delhi,Tirupati,20:00,15:40,1180,1.0, 30209
Vistara,08/01/2023,New Delhi,Bengaluru,17:30,20:25,175,0.0, 7184
Vistara,08/01/2023,New Delhi,Bengaluru,19:55,22:40,165,0.0, 7184
Vistara,08/01/2023,New Delhi,Bengaluru,20:40,23:20,160,0.0, 8234
Air India,08/01/2023,New Delhi,Bengaluru,21:10,00:05,175,0.0, 6344
Go First,08/01/2023,New Delhi,Bengaluru,22:00,11:25,805,1.0, 8866
SpiceJet,08/01/2023,New Delhi,Bengaluru,23:00,"00:15
+ 2 DAY",1515,1.0, 10332
"IndiGo, Akasa Air",08/01/2023,New Delhi,Bengaluru,17:15,23:30,375,1.0, 11074
Vistara,08/01/2023,New Delhi,Bengaluru,20:40,09:50,790,1.0, 11518
SpiceJet,08/01/2023,New Delhi,Bengaluru,20:30,23:05,155,0.0, 11602
"IndiGo, AirAsia",08/01/2023,New Delhi,Bengaluru,17:15,23:00,345,1.0, 11639
IndiGo,08/01/2023,New Delhi,Bengaluru,22:45,07:55,550,1.0, 12517
IndiGo,08/01/2023,New Delhi,Bengaluru,20:30,07:55,685,1.0, 12517
IndiGo,08/01/2023,New Delhi,Bengaluru,21:45,00:35,170,0.0, 13500
IndiGo,08/01/2023,New Delhi,Bengaluru,22:55,01:45,170,0.0, 13500
AirAsia,08/01/2023,New Delhi,Bengaluru,20:00,07:05,665,1.0, 13862
AirAsia,08/01/2023,New Delhi,Bengaluru,21:20,00:25,185,0.0, 14067
"SpiceJet, IndiGo",08/01/2023,New Delhi,Bengaluru,18:15,01:05,410,1.0, 14165
IndiGo,08/01/2023,New Delhi,Bengaluru,20:30,01:40,310,1.0, 14512
IndiGo,08/01/2023,New Delhi,Bengaluru,21:25,06:35,550,1.0, 15483
IndiGo,08/01/2023,New Delhi,Bengaluru,19:20,22:05,165,0.0, 15580
Air India,08/01/2023,New Delhi,Bengaluru,22:00,05:35,455,1.0, 16069
IndiGo,08/01/2023,New Delhi,Bengaluru,19:45,01:10,325,1.0, 16678
"IndiGo, Alliance Air",08/01/2023,New Delhi,Bengaluru,17:15,23:35,380,1.0, 17047
IndiGo,08/01/2023,New Delhi,Bengaluru,20:30,23:25,175,0.0, 17999
IndiGo,08/01/2023,New Delhi,Bengaluru,18:25,02:20,475,1.0, 18817
IndiGo,08/01/2023,New Delhi,Bengaluru,18:40,00:05,325,1.0, 19368
AirAsia,08/01/2023,New Delhi,Bengaluru,19:05,21:45,160,0.0, 19694
Go First,08/01/2023,New Delhi,Bengaluru,17:30,23:25,355,1.0, 20889
IndiGo,08/01/2023,New Delhi,Bengaluru,17:15,22:10,295,1.0, 24304
IndiGo,08/01/2023,New Delhi,Mumbai,23:00,01:20,140,0.0, 5899
Go First,08/01/2023,New Delhi,Mumbai,22:00,06:50,530,1.0, 6873
IndiGo,08/01/2023,New Delhi,Mumbai,21:45,00:00,135,0.0, 7319
Go First,08/01/2023,New Delhi,Mumbai,06:00,08:10,130,0.0, 5409
Air India,08/01/2023,New Delhi,Mumbai,22:30,00:45,135,0.0, 7320
Go First,08/01/2023,New Delhi,Mumbai,22:30,00:40,130,0.0, 7321
Go First,08/01/2023,New Delhi,Mumbai,17:00,19:10,130,0.0, 8791
Go First,08/01/2023,New Delhi,Mumbai,20:00,22:10,130,0.0, 8791
IndiGo,08/01/2023,New Delhi,Mumbai,19:20,21:30,130,0.0, 8894
AirAsia,08/01/2023,New Delhi,Mumbai,20:00,06:55,655,1.0, 9630
IndiGo,08/01/2023,New Delhi,Mumbai,21:00,07:05,605,1.0, 9734
Go First,08/01/2023,New Delhi,Mumbai,18:55,21:05,130,0.0, 9735
Go First,08/01/2023,New Delhi,Mumbai,21:00,23:15,135,0.0, 9735
IndiGo,08/01/2023,New Delhi,Mumbai,22:45,07:25,520,1.0, 9892
Vistara,08/01/2023,New Delhi,Mumbai,17:30,23:20,350,1.0, 10434
IndiGo,08/01/2023,New Delhi,Mumbai,20:20,22:35,135,0.0, 10469
IndiGo,08/01/2023,New Delhi,Mumbai,17:25,19:40,135,0.0, 11519
IndiGo,08/01/2023,New Delhi,Mumbai,22:00,05:50,470,1.0, 12209
Vistara,08/01/2023,New Delhi,Mumbai,19:00,21:15,135,0.0, 15846
Vistara,08/01/2023,New Delhi,Mumbai,19:45,22:00,135,0.0, 15846
SpiceJet,08/01/2023,New Delhi,Mumbai,18:50,20:55,125,0.0, 16139
IndiGo,08/01/2023,New Delhi,Mumbai,16:55,21:25,270,1.0, 16507
Vistara,08/01/2023,New Delhi,Mumbai,17:50,00:40,410,1.0, 17295
Vistara,08/01/2023,New Delhi,Mumbai,21:40,23:40,120,0.0, 22286
Vistara,08/01/2023,New Delhi,Mumbai,17:45,19:55,130,0.0, 27344
IndiGo,09/01/2023,Goa,Ahmedabad,23:15,01:00,105,0.0, 5299
SpiceJet,09/01/2023,Goa,Ahmedabad,01:20,02:55,95,0.0, 6417
IndiGo,09/01/2023,Goa,Ahmedabad,20:25,06:20,595,1.0, 6559
IndiGo,09/01/2023,Goa,Ahmedabad,08:55,10:35,100,0.0, 6595
IndiGo,09/01/2023,Goa,Ahmedabad,23:40,08:25,525,1.0, 7110
"SpiceJet, Go First",09/01/2023,Goa,Ahmedabad,17:05,00:40,455,1.0, 7209
Go First,09/01/2023,Goa,Ahmedabad,17:05,00:40,455,1.0, 7673
"Vistara, Go First",09/01/2023,Goa,Ahmedabad,13:20,00:40,680,1.0, 7828
Vistara,09/01/2023,Goa,Ahmedabad,22:45,16:40,1075,1.0, 7959
IndiGo,09/01/2023,Goa,Ahmedabad,23:35,08:25,530,1.0, 7996
"SpiceJet, Go First",09/01/2023,Goa,Ahmedabad,13:05,00:40,695,1.0, 8092
Go First,09/01/2023,Goa,Ahmedabad,18:15,00:40,385,1.0, 8199
Go First,09/01/2023,Goa,Ahmedabad,13:15,00:40,685,1.0, 8199
"Go First, Vistara",09/01/2023,Goa,Ahmedabad,18:15,23:55,340,1.0, 8266
Go First,09/01/2023,Goa,Ahmedabad,21:05,22:40,95,0.0, 8555
"Air India, Go First",09/01/2023,Goa,Ahmedabad,06:50,14:35,465,1.0, 8878
IndiGo,09/01/2023,Goa,Ahmedabad,16:30,01:45,555,1.0, 8953
IndiGo,09/01/2023,Goa,Ahmedabad,23:20,06:05,405,1.0, 9167
IndiGo,09/01/2023,Goa,Ahmedabad,11:25,17:00,335,1.0, 9254
IndiGo,09/01/2023,Goa,Ahmedabad,02:10,10:10,480,1.0, 9315
IndiGo,09/01/2023,Goa,Ahmedabad,14:35,16:20,105,0.0, 9919
IndiGo,09/01/2023,Goa,Ahmedabad,18:45,01:45,420,1.0, 10003
IndiGo,09/01/2023,Goa,Ahmedabad,23:45,07:45,480,1.0, 10278
"Air India, IndiGo",09/01/2023,Goa,Ahmedabad,06:50,14:15,445,1.0, 10329
IndiGo,09/01/2023,Goa,Ahmedabad,13:05,17:00,235,1.0, 10899
IndiGo,09/01/2023,Goa,Ahmedabad,21:40,03:45,365,1.0, 11110
IndiGo,09/01/2023,Goa,Ahmedabad,21:40,08:25,645,1.0, 11110
Go First,09/01/2023,Goa,Ahmedabad,11:45,00:40,775,1.0, 11647
Go First,09/01/2023,Goa,Ahmedabad,11:45,16:25,280,1.0, 12250
"Go First, IndiGo",09/01/2023,Goa,Ahmedabad,17:05,21:40,275,1.0, 12291
Go First,09/01/2023,Goa,Ahmedabad,23:55,08:25,510,1.0, 12421
IndiGo,09/01/2023,Goa,Ahmedabad,12:05,18:55,410,1.0, 12580
IndiGo,09/01/2023,Goa,Ahmedabad,12:05,23:20,675,1.0, 12580
IndiGo,09/01/2023,Goa,Ahmedabad,00:50,07:15,385,1.0, 12623
IndiGo,09/01/2023,Goa,Ahmedabad,00:50,09:30,520,1.0, 12623
IndiGo,09/01/2023,Goa,Ahmedabad,08:00,17:55,595,1.0, 12623
IndiGo,09/01/2023,Goa,Ahmedabad,08:05,18:55,650,1.0, 12623
"SpiceJet, IndiGo",09/01/2023,Goa,Ahmedabad,17:05,21:40,275,1.0, 12720
Go First,09/01/2023,Goa,Ahmedabad,06:40,14:35,475,1.0, 12912
IndiGo,09/01/2023,Goa,Ahmedabad,15:05,23:20,495,1.0, 13174
Go First,09/01/2023,Goa,Ahmedabad,06:40,16:25,585,1.0, 13212
Go First,09/01/2023,Goa,Ahmedabad,14:00,20:35,395,1.0, 13256
Go First,09/01/2023,Goa,Ahmedabad,14:50,20:35,345,1.0, 13344
IndiGo,09/01/2023,Goa,Ahmedabad,16:30,21:40,310,1.0, 13433
IndiGo,09/01/2023,Goa,Ahmedabad,11:25,19:50,505,1.0, 13469
IndiGo,09/01/2023,Goa,Ahmedabad,11:25,21:40,615,1.0, 13469
Go First,09/01/2023,Goa,Ahmedabad,18:15,08:25,850,1.0, 13471
IndiGo,09/01/2023,Goa,Ahmedabad,13:05,19:50,405,1.0, 15113
IndiGo,09/01/2023,Goa,Ahmedabad,13:05,21:40,515,1.0, 15113
IndiGo,09/01/2023,Goa,Ahmedabad,08:05,14:25,380,1.0, 15117
IndiGo,09/01/2023,Goa,Ahmedabad,09:55,15:00,305,1.0, 15833
